homename,stadium,Capacity
Texas A&M,Kyle Field,102733
Texas A&M,NRG Stadium,72220
Texas A&M,AT&T Stadium,80000
Tennessee,Bristol Motor Spdway,153000
Tennessee,Bank of America,75412
Tennessee,Neyland Stadium,102455
LSU,NRG Stadium,72220
LSU,AT&T Stadium,80000
LSU,M-B Superdome,71000
LSU,Tiger Stadium,102321
Alabama,Bryant-Denny,101821
Alabama,Bryant-Denny Stadium,101821
Alabama,Georgia Dome,71228
Alabama,Cowboys Stadium,80000
Alabama,AT&T Stadium,80000
Alabama,Mercedes-Benz Stdm,71000
Georgia,Sanford Stadium,92746
Georgia,Mercedes-Benz Stdm,71000
Georgia,EverBank Field,67164
Georgia,TIAA Bank Field,67164
Georgia,Georgia Dome,71228
Florida,AT&T Stadium,80000
Florida,EverBank Field,67164
Florida,Georgia Dome,71228
Florida,Ben Hill Griffin,90833
Florida,BHG Stadium,90833
Auburn,Jordan-Hare,87451
Auburn,Georgia Dome,71228
Auburn,Mercedes-Benz Stdm,71000
South Carolina,Williams-Brice Stad.,85199
South Carolina,Bank of America Sta.,75412
Arkansas,DWR Razorback Stad.,76000
Arkansas,DWRRS,76000
Arkansas,DWR Razorback,76000
Arkansas,AT&T Stadium,80000
Mississippi (Ole Miss),Vaught-Hemingway,66176
Mississippi (Ole Miss),Georgia Dome,71228
Missouri,Memorial Stadium,71168
Missouri,Faurot Field,71168
Mississippi State,Davis Wade Stadium,63207
Kentucky,Commonwealth,63543
Kentucky,Commonwealth Stadium,63543
Kentucky,Kroger Field,63543
Kentucky,The New CWS,63543
Vanderbilt,Vanderbilt Stadium,40350
Vanderbilt,LP Field,69143
Florida State,Doak Campbell,83429
Florida State,CampingWorldStadium,65000
Clemson,Memorial Stadium,83830
California,Memorial Stadium,62467
Georgia Tech,Mercedes-Benz Stdm,71000
Louisville,Papa John's Cardinal,65000
Brigham Young,LaVell Edwards,63725
TCU,Amon G. Carter,45000
TCU,AT&T Stadium,80000
North Carolina,Georgia Dome,71228
Wisconsin,Lambeau Field,81441
Houston,TDECU Stadium,40000
Memphis,Liberty Bowl Stadium,58325
Syracuse,Carrier Dome,49250
Southern Methodist,Ford Stadium,32000
Kansas State,Snyder Stadium,50000
Texas Tech,Jones AT&T Stadium,80000
South Alabama,Ladd-Peebles,38129
Toledo,Glass Bowl,26248
Central Florida (UCF),BHNS,48000
Rutgers,High Point Solutions,52454
Massachusetts,Gillette Stadium,65878
Oregon,Autzen Stadium,54000
Miami (FL),Sun Life Stadium,65326
Western Kentucky,LP Field,69143
Oklahoma State,Reliant Stadium,72220
Virginia Tech,Georgia Dome,71228
Wake Forest,BB&T Field,31500
Louisiana Tech,Independence,40453
